nhgf_id,DA_SQKM,MAXDI_EROM,Dam_Index,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_STREAM_SLOPE,TOT_MAXP6190,TOT_MAXWD6190,TOT_MINWD6190,TOT_RH,TOT_AET,TOT_CWD,TOT_BFI,TOT_CONTACT,TOT_IEOF,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_EWT,TOT_RF7100,TOT_MIRAD_2012,TOT_FRESHWATER_WD,TOT_STREAMRIVER,TOT_ARTIFICIAL,TOT_CONNECTOR,TOT_STRM_DENS,TOT_TOTAL_ROAD_DENS,TOT_HGA,TOT_HGB,TOT_HGC,TOT_HGD,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_OM,TOT_ROCKDEP,TOT_BDAVE,TOT_WTDEP,TOT_SRL25AG,TOT_NLCD19_31,TOT_NLCD19_41,TOT_NLCD19_43,TOT_NLCD19_71,TOT_NLCD19_81,TOT_NLCD19_FOREST,TOT_NLCD19_WETLAND
45711,194.65,0,0,1418.94,2058.55,0.036944,43.11,5.18,1,43.69,368.04,1.68,22.87,267.1,0,4.67,0,10.56,-58.99,20.39,0,1.61,97.16,0,0.21,1.01,0.28,0,16.28,35.36,44.82,39.08,26.4,34.53,0.34,0.11,45.66,29.81,0.47,16.38,1.25,6,0,0,0.01,0,0,0,15.17,0
45712,28.3,0,0,570.01,851.75,0.007766,15.89,3,0,31.39,419.44,1.62,20,11.65,0,4,0,10.64,-34.41,9.45,0,9.22,94.84,5.16,0,0.96,0.64,0.55,4.6,43.2,51.66,28.37,9.85,61.78,0.36,0.19,48.56,18.63,0.13,26.86,1.45,6,0,1.38,0,0,39.96,0,0,0
45713,109.9,0,0,1496.56,2036.6,0.040814,38.99,5.32,1,49.46,279.4,1.65,40.04,45.57,0.02,8.34,0,10.48,-57.44,19.32,0,1.61,100,0,0,0.95,0.35,0,13.53,12.83,76.08,49.38,17.37,33.25,0.39,0.15,56.4,36.65,0.71,24.37,1.3,6,0,5.27,0,0,8.47,0,15.66,0
45714,32.12,0,0,1775.11,2036.6,0.054352,44.3,5.84,1,50.38,380.44,1.67,38.24,80.39,0.02,7.99,0,9.36,-67.66,21.89,0,1.61,100,0,0,0.85,0.48,0,14.95,37.07,52.4,45.61,20.02,34.36,0.42,0.09,70.92,45.06,0.65,30.7,1.22,6,0,7.95,0.01,0,0.2,0,47.65,0
45716,29.08,0,0,1914.75,2054.86,0.013687,54.96,6.98,2,51.53,493.63,1.7,60.29,189.19,18.88,12.72,0,11.46,-31.27,23.81,0,1.61,100,0,0,0.83,0.43,0,0,79.98,20,37.76,39.14,23.09,0.29,0.13,76.22,58.62,0.66,39,1.2,6,0,0.24,0,0,0,0,95.27,0
45717,109.61,0,0,1476.47,1797.35,0.015758,42.65,4.99,0.98,46.9,346.32,1.68,28.81,183,0,5.96,0,10.25,-37.5,19.24,0,1.61,99.89,0,0.11,0.92,0.2,0,0.57,18.85,80.69,36.81,21.5,41.69,0.48,0.16,48.72,28.41,0.29,0,1.5,6,0,1.77,0,0,27.16,0,0.32,0
45718,51.6,0,0,1463.63,1704.71,0.009327,43.23,5.09,1,47.74,273.36,1.68,29,4,0,6,0,11.32,-28.44,19.76,0,1.61,99.87,0,0.13,1.04,0.19,0,0.06,19.87,80.06,36.81,21.5,41.69,0.48,0.16,51.35,29.94,0.29,0,1.5,6,0,0.38,0,0,33.65,0,0,0
45719,184.24,0,0,1231.06,2036.6,0.033695,32.22,4.93,0.79,47.14,282.9,1.67,36.86,29.22,0.01,7.59,0,11.5,-57.39,16.53,0,1.61,100,0,0,0.98,0.31,0.67,10.02,11.38,79.7,47.86,14.25,37.89,0.36,0.16,51.29,31.45,0.56,27.05,1.35,6,0,3.86,0,0,5.07,0,9.47,0.02
45720,185.84,0,0,1223.78,2036.6,0.033297,32.08,4.92,0.78,47.07,285.68,1.67,36.8,29.22,0.01,7.57,0,11.54,-57.01,16.47,0,1.61,98.83,1.17,0,0.98,0.31,0.68,9.96,11.28,79.86,47.86,14.24,37.91,0.36,0.16,51.22,31.4,0.56,27,1.35,6,0,3.83,0,0,5.03,0,9.38,0.47
45723,364942.7,1422.91,0.57,2084.4,4359.49,0.015305,48.93,7.92,3.53,52.32,223.9,1.69,54.61,221.37,2.41,50.75,0.27,11.7,-51.01,17.8,1.34,7.19,93.85,2.68,0.21,0.67,0.91,7.33,36.63,17.09,39.84,36.6,20.88,42.52,0.31,0.24,76.87,44.02,0.55,41.73,1.38,5.92,14.56,2.54,5.1,0.64,6.39,0.83,26.54,1.09
